Project,Sample,MAPD,variance,amplicon_size,Subject
Normal,1465_MDA_12,0.5685875133428461,0.0138832806659335,17408.0,1465
Normal,1465_MDA_18,0.5583335080511639,0.0138383843174229,16888.0,1465
Normal,1465_MDA_20,0.53342290224914,0.0131685744956642,17606.0,1465
Normal,1465_MDA_24,0.618259995234115,0.0155143925828083,17544.0,1465
Normal,1465_MDA_25,0.563909297855801,0.0138476497719771,17123.0,1465
Normal,1465_MDA_2_WGSb,0.542248236124283,0.0137272689293413,17645.0,1465
Normal,1465_MDA_30,0.599886790041439,0.0151083042329621,16460.0,1465
Normal,1465_MDA_39,0.594997796752884,0.0150519465463628,16728.0,1465
Normal,1465_MDA_3_WGSb,0.5729996648600699,0.0145895133220291,17054.0,1465
Normal,1465_MDA_43,0.535476972224541,0.013316562086388999,17006.0,1465
Normal,1465_MDA_46,0.558328665071699,0.0134822195751752,17563.0,1465
Normal,1465_MDA_47,0.558723662205447,0.0137177821289511,17064.0,1465
Normal,1465_MDA_51_WGSb,0.5931380274604721,0.0142455740967614,16691.0,1465
Normal,1465_MDA_5,0.5743383641067149,0.0157425512653147,15774.0,1465
Normal,1465_MDA_6_WGSb,0.546012966670674,0.0138820874812752,16727.0,1465
Normal,1465_MDA_8,0.6167166146343621,0.0161057073461652,15935.0,1465
Normal,4638-MDA-03,0.546312014607762,0.0104815894305795,20966.0,4638
Normal,4638-MDA-11,0.6698550689730179,0.012758223003904,18487.0,4638
Normal,4638-MDA-12,0.613298502108092,0.0117023431112822,19207.0,4638
Normal,4638-MDA-13,0.697594722991608,0.0121185320294588,18508.0,4638
Normal,4638-MDA-14,0.6978140495879799,0.0121826919954972,17447.0,4638
Normal,4638-MDA-15,0.623808853409833,0.0107024024942245,20745.0,4638
Normal,4638-MDA-20,0.577758429493429,0.0115841337304179,19193.0,4638
Normal,4638-MDA-24,0.658474993011414,0.0126958169894846,17544.0,4638
Normal,4638-MDA-2,0.562211849967407,0.0122576484520046,19742.0,4638
Normal,4638-MDA-4,0.626823860273614,0.0106590910789547,19538.0,4638
Normal,4638-MDA-7,0.563557628669019,0.0113964186394527,15031.0,4638
Normal,4643_MDA_1,0.5371090688298711,0.0106646391679678,15651.0,4643
Normal,4643_MDA_23,0.539591105209439,0.0110222044260972,15970.0,4643
Normal,4643_MDA_24,0.516878649884055,0.0105636285661198,16371.0,4643
Normal,4643_MDA_26,0.553454292740144,0.0114349684236792,15464.0,4643
Normal,4643_MDA_2,0.583194800649534,0.0113001439137356,15924.0,4643
Normal,4643_MDA_31,0.6065487436133841,0.0126211239895712,15767.0,4643
Normal,4643_MDA_32,0.507316863811104,0.0106318329680992,17141.0,4643
Normal,4643_MDA_3,0.590524598414786,0.0116351808425016,16263.0,4643
Normal,4643_MDA_4,0.542170735748822,0.0114548356373062,15696.0,4643
Normal,4643_MDA_5,0.55009203695515,0.0109143688742791,15476.0,4643
