	bad	good
1e-06	434.45069050053246	102.29752547703033
1.6249531191398926e-06	411.01883057314194	90.09913723938162
2.249906238279785e-06	436.0219026612493	84.15735414371849
2.8748593574196773e-06	441.2159056193208	79.10290901476861
3.49981247655957e-06	425.85882266231704	75.85928828015273
4.1247655956994626e-06	435.80713498350906	72.3212659750338
4.749718714839355e-06	436.61299317316866	66.87773194709116
5.3746718339792465e-06	411.1346831713116	64.17308527162285
5.99962495311914e-06	405.2904090034889	61.18859227061644
6.624578072259032e-06	383.9646890114705	58.722178634144115
7.2495311913989245e-06	376.58866730268846	55.6046849639609
7.874484310538816e-06	379.4050873753811	54.75123718305519
8.499437429678711e-06	362.4213554198776	52.20993423254177
9.124390548818604e-06	340.4100095719707	49.93252425661265
9.749343667958496e-06	334.1126866378375	47.29997862508749
1.0374296787098387e-05	322.54059206863377	46.57823938849387
1.0999249906238279e-05	304.362777849463	45.64959713249092
1.1624203025378176e-05	296.12816518912695	43.39071174956644
1.2249156144518065e-05	284.4335180818864	42.633415455394356
1.287410926365796e-05	279.2030012599722	41.129627897910524
1.349906238279785e-05	273.11940985217154	40.80258335765697
1.4124015501937743e-05	267.1738806811594	40.31620084653051
1.4748968621077633e-05	250.21388083827486	39.06734648403556
1.5373921740217525e-05	235.51285124134844	38.74889910410692
1.5998874859357418e-05	234.304756431294	37.13076135943527
1.6623827978497315e-05	231.29500199670298	36.541685785199036
1.7248781097637205e-05	215.35698157912486	36.11791950681625
1.7873734216777098e-05	215.93030192142749	35.65584824802309
1.8498687335916988e-05	205.9511218248498	35.3457309103892
1.9123640455056884e-05	202.28046578616681	33.68878247297454
1.974859357419677e-05	204.28955766402046	32.48558718353613
2.0373546693336667e-05	193.1926028918953	31.17979276860759
2.099849981247656e-05	187.23265197287446	30.753094765444416
2.162345293161645e-05	182.0499236708012	30.110513318797253
2.2248406050756347e-05	174.02039530526002	29.60687550482576
2.287335916989624e-05	176.7099666481368	28.50329474188657
2.349831228903613e-05	173.24594547701932	28.098889369530696
