avg	se
0.9567817307724455	0.023594818990531508
0.9607457282321319	0.023576199840668735
0.9682810537540432	0.020402820616958618
0.9809655453458455	0.015642842789576894
0.9826810812831213	0.014651444589844423
0.9881008380516217	0.012108037068236524
0.9784860135247267	0.009475141162336418
0.9689584105157911	0.01558155601909101
0.9749253032405708	0.018688972514299917
0.9646115783802923	0.01893160540969253
0.9556531208530222	0.01239846857176338
0.9520843894485935	0.01998618078032484
0.9351937019178613	0.019398643358319135
0.9227263282502337	0.02228295531388032
0.9119544464494493	0.013729034393184009
0.9046634504500309	0.014543250660920522
0.900273106793764	0.012474728249941523
0.8929043865778186	0.028089006003252592
0.8748814507041939	0.02704886044025185
0.8645319959241329	0.024073581915723893
0.8528978298269138	0.01874332370975078
0.8456024641288813	0.023629832026174986
0.8397666013151749	0.02149836993321436
0.8386603725559256	0.012111324519144213
0.8391070009579498	0.006701826128150737
0.8267976554384487	0.018899193638088674
0.8226023819464222	0.020953732449063768
0.8002351147519005	0.02307186310454951
0.7915820475843557	0.013897614840240055
0.7888198168748166	0.017237450926773614
0.7834661647254464	0.011672177730986692
0.7617550716960383	0.015131651970451705
0.7687629700200744	0.027511075223574804
0.7543525399218816	0.0185270031452779
0.7553833251562861	0.017733573286702435
0.7423129396026749	0.01741552348383112
0.739105831498873	0.015206636243449936
0.7378529754708348	0.016689128276970694
0.7268622088811348	0.018942084667669574
0.7178630441626607	0.010750129074234676
0.7225275331346396	0.017860190085004342
0.7185838474362308	0.014584513186302758
0.7005073082807824	0.012820491026214678
0.6974034455743983	0.01593399123148014
0.6845867214890438	0.013346135337743719
0.6836277588647245	0.017694306678429864
0.6769778905820542	0.01815330808684072
0.6740407395315207	0.024205259016593643
0.6682204922618711	0.01736146281526726
0.6619216423599508	0.013826663546761292
0.6617446356469254	0.013352217325532883
0.6647789971377297	0.010884929133404171
0.6610916242949653	0.014694963484143557
0.6464462301056936	0.01847521708638857
0.6413518337216007	0.015262783930056579
0.6261893101262125	0.014709063457620457
0.6208858649669571	0.018253352360704602
0.6205135477436314	0.010282276017969523
0.6178729545722691	0.01845679215662745
0.6097418584927727	0.015326962193742733
0.596611856980705	0.010012912144850453
0.6042108747302695	0.020533929821970012
0.5850303562092254	0.015383847413919302
0.583125708601158	0.012631464443883444
0.5772624633785743	0.017939414403675163
0.5807059643330674	0.014880788885450162
0.5720323312300263	0.010617498607062391
0.5622731898648067	0.014359408535163888
0.5639411603970614	0.014266898951969977
0.5587118746554058	0.020527394773908383
0.5418562757217833	0.025182748138575912
0.5499999403417369	0.020852461053598923
0.5376699941749908	0.017416118644785573
0.5329024914303437	0.008556225775974393
0.5276890222742443	0.015990498854822465
0.5239225190239416	0.015090333571009014
0.5256321599288317	0.011809172510025279
0.525660590487273	0.013366685341873305
0.5219166400072816	0.016161024709099713
0.5187162262531687	0.010922918736686833
0.509899584150937	0.017764017780175893
0.5053535740123343	0.014244335229497189
0.5066001579343908	0.021869978889802372
0.4929074194060766	0.018684166191712114
0.49614115886712434	0.013507904073823969
0.48801917141491524	0.008550605373808976
0.48369815755183077	0.012352239943491631
0.4803073029953741	0.011869503744497419
0.47262327097325263	0.020373686566885815
0.4842534855163185	0.016857842313577277
0.4759980075518029	0.011774412987273358
0.466784635573267	0.017142135791183198
0.46679284870545457	0.022601959822224266
0.47194273950308274	0.020138937799859227
0.4727277379406923	0.01284488489131472
0.46639730426677584	0.01900425409884858
