4638-Bulk-Heart-final-all	0.149137828220799	0.071227581319421	0.0527751368122737	0.0252506111084349	0.0184341887069775	0.0105063411257824	0.00935436227668527
4638-MDA-03-final-all	0.367520854303972	0.395118970049563	0.452298349600474	0.54632634539427	0.522978861826484	0.369234406664994	0.314612597308776
4638-MDA-11-final-all	0.354470478068493	0.421973001538675	0.505759120173208	0.669601711268901	0.643576869375069	0.407311264100791	0.322136827480737
4638-MDA-12-final-all	0.319219611467239	0.394594550700546	0.472955753016692	0.613389696671353	0.588629650351087	0.396731158059424	0.325731910096943
4638-MDA-13-final-all	0.406202732488727	0.454770312180954	0.540233201640058	0.697583503736554	0.681325791742523	0.586069161474517	0.538799853254398
4638-MDA-14	0.403523732181853	0.454158496207435	0.5399708754861	0.697774118707214	0.681108527777859	0.585379387269695	0.539309870569003
4638-MDA-15-final-all	0.366763458335945	0.419339223299802	0.492391985372927	0.623849702987838	0.606286503625846	0.479030121688654	0.417902988111314
4638-MDA-20-final-all	0.35761395670563	0.400766417164657	0.465854633269798	0.577687257357382	0.548932634528431	0.3671000565915	0.281176623305386
4638-MDA-24-final-all	0.397410907334164	0.46020329245599	0.53376772552384	0.658862592705867	0.623059946857456	0.407816597104955	0.337587733401203
4638-MDA-2-final-all	0.33831184705728	0.384436130678977	0.446516911038283	0.562086403657679	0.544667817613104	0.387423129698483	0.322520767687104
4638-MDA-4-final-all	0.343576767211003	0.402275218500863	0.47640062583089	0.626541196082025	0.607692589325506	0.42119121751768	0.344919095359054
4638-MDA-7-final-all	0.347839177708735	0.395765040180272	0.459584571602373	0.563859974256598	0.547267672762282	0.40431504950182	0.355240781931284
