	bad	good
1e-06	98.11203262559492	47.14563706819876
1.6249531191398926e-06	98.17280292083451	43.37974859230087
2.249906238279785e-06	101.15430665757171	42.03160658570361
2.8748593574196773e-06	97.07167131125276	40.91131089676293
3.49981247655957e-06	86.55848187937181	39.38948080369404
4.1247655956994626e-06	86.3936675534041	38.11987250515791
4.749718714839355e-06	86.44911232507708	38.697492340764526
5.3746718339792465e-06	88.19728279674916	35.501934582666635
5.99962495311914e-06	79.97537619465652	34.854944070645644
6.624578072259032e-06	77.42629878071651	33.546310819702555
7.2495311913989245e-06	75.8839858038937	32.380488359198964
7.874484310538816e-06	74.57926473320191	32.46104907212174
8.499437429678711e-06	72.5851164945482	30.3963826449882
9.124390548818604e-06	76.492895983784	29.600240648782155
9.749343667958496e-06	76.12196430280764	28.936546962761064
1.0374296787098387e-05	72.27343748391911	28.752692962296592
1.0999249906238279e-05	73.3144312254725	27.08704107161478
1.1624203025378176e-05	76.44926484999036	26.31295860810354
1.2249156144518065e-05	71.6222252823074	25.97132941059641
1.287410926365796e-05	72.09100510116102	24.92985206779254
1.349906238279785e-05	65.48507084626968	23.621160751739012
1.4124015501937743e-05	64.83339752818733	23.216756553859163
1.4748968621077633e-05	68.8347394991649	21.060536196661822
1.5373921740217525e-05	66.11801448236685	20.87509799143872
1.5998874859357418e-05	70.23942944065192	20.863316570129548
1.6623827978497315e-05	68.7566282050378	19.68181959684936
1.7248781097637205e-05	67.28861906294318	19.17190360829261
1.7873734216777098e-05	61.55393591384784	19.005568068691417
1.8498687335916988e-05	66.5343795943368	18.080372429811387
1.9123640455056884e-05	61.98918463159294	17.228462570558367
1.974859357419677e-05	61.739411277899265	17.03824018261595
2.0373546693336667e-05	58.51382978109207	16.355269760742566
2.099849981247656e-05	60.46222691989371	15.791968683283246
2.162345293161645e-05	54.84993847047319	15.583226169763895
2.2248406050756347e-05	58.426326957946856	14.718706378683612
2.287335916989624e-05	56.14187215706957	14.618275174099228
2.349831228903613e-05	52.87266609165053	14.533213429790958
2.4123265408176027e-05	54.244492383069826	14.37853460666699
2.474821852731592e-05	56.364966579975786	13.666215951067484
2.537317164645581e-05	51.82618416797464	13.157925411750675
2.59981247655957e-05	56.26585258595608	12.850153760148316
2.6623077884735596e-05	49.5603233954855	13.219209866380275
2.7248031003875493e-05	49.67567540242561	12.835373425679453
2.787298412301538e-05	46.59513066832805	12.046314210686095
2.8497937242155266e-05	48.02470494259734	12.076803127826794
2.9122890361295166e-05	46.59116719173234	11.708287855555497
2.9747843480435052e-05	47.34110681587316	11.776280561809159
3.0372796599574952e-05	42.2497068781002	11.084397765373396
3.099774971871484e-05	42.37573189628809	10.458309979710021
3.162270283785473e-05	44.90376772828098	10.873866755409848
3.2247655956994625e-05	44.946268921957284	10.687626521408736
3.287260907613451e-05	42.66633120106431	10.529068658397323
3.3497562195274405e-05	38.090861457177084	10.188765915736216
3.41225153144143e-05	37.53736308731739	10.65298745821383
3.4747468433554185e-05	40.93962822466974	9.934949112377625
3.5372421552694085e-05	40.84886508999835	10.244480888913333
3.599737467183398e-05	40.48362588953597	9.92494185875045
3.662232779097387e-05	35.98534264977761	9.217727563554934
3.724728091011377e-05	39.93162087376585	9.218669765646656
3.7872234029253665e-05	40.56886767261662	9.479794848109073
3.849718714839354e-05	39.55641120398248	9.149534046843153
3.9122140267533444e-05	37.69875976115318	9.01473963640854
3.974709338667333e-05	33.90579237271884	9.002580639121678
4.037204650581322e-05	36.31982981797007	8.940480533717913
4.099699962495312e-05	33.19638534777404	9.21724830737686
4.162195274409301e-05	33.83610166901022	8.650202784459122
4.22469058632329e-05	32.71610394615789	8.312924746523908
4.28718589823728e-05	35.009324926181336	8.423344190164057
4.349681210151269e-05	32.68332814635422	8.065884195897155
4.4121765220652583e-05	34.965718128643374	8.126820114312746
4.474671833979247e-05	32.700406240316525	8.011168478263391
4.537167145893236e-05	33.28671775826753	8.361819916297264
4.5996624578072256e-05	31.993897757812164	7.896932445450675
4.662157769721215e-05	33.928215873919804	7.915513893659892
4.7246530816352036e-05	31.62479407248489	7.642781332492906
4.7871483935491936e-05	31.22696450951519	7.659467661448029
4.849643705463183e-05	30.086363907083054	7.58409375839842
4.912139017377172e-05	31.159777885422876	7.424556460042454
4.974634329291161e-05	31.937992378375505	7.223939877706591
5.03712964120515e-05	27.97664041078072	7.193980358678082
5.09962495311914e-05	28.729237004455257	7.442735477839071
5.1621202650331296e-05	30.17569046980059	7.291461820048575
5.224615576947118e-05	28.332363408483225	6.810392329667207
5.2871108888611075e-05	27.33124046721443	7.010675395113571
5.349606200775097e-05	29.36201675603006	6.845161203257883
5.412101512689086e-05	26.819945877268548	6.771688444895711
5.474596824603076e-05	25.86750122383032	6.68250745477801
5.537092136517064e-05	25.74853624871996	6.62125979145898
5.5995874484310535e-05	25.324928739337594	6.66410127306536
5.662082760345043e-05	25.9158724666004	6.552316152972185
5.724578072259032e-05	28.210755832322768	6.35511685300538
5.7870733841730214e-05	26.771260193985484	6.349468559212356
5.849568696087011e-05	26.261764225029253	6.464948267747565
5.912064008001e-05	25.308660910260627	6.32861360111297
5.974559319914989e-05	25.732817655159756	6.059706460136234
6.0370546318289794e-05	25.792366435513568	6.1657831400510075
6.0995499437429674e-05	24.238339600762707	6.103453380963499
6.162045255656957e-05	25.803243675423072	6.245719106239827
6.224540567570947e-05	23.34172593665601	6.034199194350768
6.287035879484935e-05	22.596998848490344	5.923434120034441
6.349531191398924e-05	22.829040326456223	5.924194855368619
6.412026503312914e-05	22.447252790239784	5.936199662212455
6.474521815226903e-05	23.978889420521902	5.517396792322252
6.537017127140894e-05	22.93619138013348	5.789467498438143
6.599512439054881e-05	20.685337436937694	5.757570688906077
6.662007750968871e-05	20.35405409839128	5.492510413420498
6.72450306288286e-05	21.373610616232632	5.526850771587766
6.78699837479685e-05	21.4338861870024	5.513830687040302
6.849493686710839e-05	21.76614304543554	5.56279346432223
6.911988998624829e-05	19.7447685703845	5.309999895862724
