mean	se
0.015988223194453255	0.0003702295588421973
0.008067351537025405	0.0003055850068548444
0.00843527890483135	0.0003067202080830039
0.007351873069222713	0.00029926536793554184
0.005736958134740516	0.0002606386340522159
0.005867319869432034	0.0002581615748785766
0.005683271033516887	0.0002582603490318074
0.005673239892114413	0.0002515594923015078
0.005553011048202376	0.0002524712506205886
0.005541771050501792	0.00024792712010222856
0.005425372467261999	0.0002401944266266801
0.004719227406645246	0.00019764788405994058
0.0040139781253384	0.0001601425456020833
0.0034701414122006863	0.00014099477223347733
0.002996193002711801	0.00012771110226949167
0.0026470287780505078	0.00011641895850687325
0.002354830154676167	0.00010880033218044444
0.0021006042000253403	0.000100835526485706
0.0018746246370691414	9.69642089883785e-05
0.0016677999875163358	8.369324129322343e-05
0.0006231383132958376	3.429703040209797e-05
0.00037976948602497576	1.7923949382664136e-05
0.0003675910427612497	2.348947783447719e-05
0.0002285872119342628	1.1848719121191429e-05
0.00016938442386061557	1.173748569963994e-05
0.00014120389020055174	1.3697762634754126e-05
0.0001261064445539314	1.1390455844545922e-05
0.00010775122083865691	9.017620568514932e-06
8.062757360989728e-05	9.769023025244875e-06
-1.1173745541803382e-05	4.4753662694597685e-06
-0.000163524881432825	6.486158059347223e-06
-0.0003140008133112716	1.3380313444612687e-05
-0.00040237887127045276	1.770371585783137e-05
-0.0003647037761443321	1.5156086010542445e-05
-0.00014255377541512188	6.3480392967120475e-06
0.00014182709697311736	5.733491038845411e-06
0.00036399888357217114	1.6356841244926405e-05
0.00042757514419492783	1.7825167169789645e-05
