	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.007741906559483241	1.5890029819456375	14.052994276612585	1070	8853	14707	1675	46902	Pass
2	0.008232285730306965	1.8419503754642053	14.876601326530636	0	9602	17671	1553	59740	Pass
3	0.007237584031470107	1.6215874973690667	14.274089737484104	0	9973	17452	1747	57053	Pass
4	0.010035674881221321	1.4118153148647181	14.283304691752274	1598	10809	20760	1652	70505	Pass
5	0.009704393825398757	1.5395841932634848	14.18200660149179	0	10912	19696	1827	65610	Pass
6	0.008686741105366559	1.7217426619530825	14.427836440756717	1409	9952	17590	1712	57606	Pass
7	0.009256346741495081	1.8607602547720123	14.699473444016455	1194	10130	16936	1925	54121	Pass
8	0.009911659438240086	1.739951930257023	14.645880719801667	1016	10566	19289	1745	63575	Pass
9	0.021129619120736666	1.290110022587747	13.94256120716869	896	11024	23614	1453	83627	Pass
10	0.015025538327235834	1.526639329120128	14.487702237525697	1249	9529	16583	1696	53997	Pass
11	0.011110145779438817	1.8573781724703302	15.106531978156172	1121	10295	17552	1887	56333	Pass
12	0.04873560653691815	2.2575051621888935	16.68396937502098	0	8003	14814	1284	50295	Possible gain
13	0.016526821534398245	1.409850132422667	13.632210358680133	0	10279	18278	1752	60155	Pass
14	0.01621408211808352	1.7156247095929578	13.68022179299695	139	9922	16523	1895	52259	Pass
15	0.01782834436167165	1.9661213328851064	14.434990414031143	1562	9901	17920	1635	58930	Pass
16	0.03586943981965052	2.1099829152745153	15.312995807938044	0	7471	12858	1356	41940	Fail
17	0.025156735635719206	1.402449830098238	12.997713692435855	1497	9075	13211	2223	37657	Pass
18	0.018715878861763475	1.7075510636752922	13.951725805867007	86	10431	18582	1794	61071	Pass
19	0.04835072193749505	1.865646180165502	15.138047799232009	0	6986	11253	1403	35186	Fail
20	0.023379678531636895	1.4776207076880628	14.597756569548919	825	9881	20618	1340	72229	Pass
21	0.1374326244963387	2.580046869578709	18.390228044740702	974	10816	17177	2230	52304	Fail
22	0.053406936059027986	1.3096882254273954	12.217337995642097	0	8832	13241	2026	38975	Fail
