	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.008293356849613692	2.22555052221076	14.522899112396392	719	9822	17781	1634	59506	Pass
2	0.08650227101530139	3.616364162286925	16.96438594113433	0	8363	14034	1563	44597	Possible gain
3	0.008668774366071452	2.3193498396601493	14.424100115112193	622	9949	17119	1777	55296	Pass
4	0.007985399415825734	2.432041074503127	13.795315734640448	1015	10986	18880	1990	60662	Pass
5	0.011743430114356973	2.0112737382941317	13.501800882028878	0	10985	18139	2090	56691	Pass
6	0.008931271426184757	2.318920159690716	13.657754015630225	759	10536	17896	1914	57383	Pass
7	0.009318686012068937	2.356256101822755	13.680638613365808	1440	10143	15264	2285	45102	Pass
8	0.011440903546634431	2.408041386973319	14.626575027409466	1485	11158	20101	1890	66608	Pass
9	0.020568151097142384	2.0428845085945797	13.281135040484216	0	10621	17682	2028	55318	Pass
10	0.01380517899231142	2.269542045667537	14.5090542096181	918	10393	18129	1830	58367	Pass
11	0.014229429413430507	2.4997555336323725	14.94965957025267	0	9924	16743	1834	52660	Pass
12	0.07523930087889528	3.4091902439224633	16.478924894076663	0	8099	13089	1614	40565	Possible gain
13	0.01662853504915252	2.1966700427490276	13.458820889694797	0	11415	18621	2250	57862	Pass
14	0.016554910001880006	2.7223145755529616	14.174423368895624	1536	10773	18151	1996	58240	Pass
15	0.01712751757122632	2.443692921558551	14.280272071091922	0	10533	18031	1906	56974	Pass
16	0.01934434625360665	2.3340760724327705	13.48063783488583	1542	9535	14814	2042	44455	Pass
17	0.03735847148007223	1.5341370692234513	11.999125405788176	1418	8457	12957	1844	38620	Fail
18	0.01906384342058863	2.5714012183214	13.68012649346922	860	11951	19428	2369	60487	Pass
19	0.044708884950012205	2.7845639232037955	14.15463614659652	1598	7285	11910	1425	36940	Fail
20	0.02921524677101269	1.9579989408416187	13.684711830599767	1598	10821	18335	1983	58872	Pass
21	0.1023098735038962	3.422028690124323	15.22558163290255	1036	10537	11235	5838	18996	Fail
22	0.06882748394663815	1.5157815917018231	12.221586151138307	0	10375	17385	1945	55439	Fail
