	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.008589225151001093	3.2218549765986237	14.271424413141936	0	7699	12275	1585	37488	Pass
2	0.009367624744257428	3.4204860082392665	14.260768883393862	0	8795	14706	1661	47003	Pass
3	0.0541963845643337	2.063101093967778	11.7081579716791	0	10156	17237	1874	55310	Possible loss
4	0.01135501375439649	2.790510121987192	13.234203464236096	505	9904	18543	1565	62770	Pass
5	0.009105967772186863	2.8742354056700234	13.598724595171603	1598	9315	18044	1415	60859	Pass
6	0.008471399932644494	3.0750237005703367	13.642647247308698	1591	9176	15527	1696	50108	Pass
7	0.009449904583465637	3.0541347511491974	13.36359684648055	0	8879	13630	1937	40733	Pass
8	0.010400481261380838	3.239045122843396	14.077021726030807	0	8645	15263	1502	50377	Pass
9	0.013488266569881871	2.9156783982170857	13.462964289769484	1598	8727	14761	1616	47334	Pass
10	0.013015511125828634	3.2598909426760665	14.711388106576463	0	8932	16181	1494	54289	Pass
11	0.012563077838584118	3.226733948100291	14.108703750234348	0	8303	14218	1496	45651	Pass
12	0.10171982720302135	4.640859015178711	16.88268958082077	0	7319	12891	1288	42586	Possible gain
13	0.01735022090801376	2.8375190696218926	13.500227220662676	1598	10096	17425	1808	56359	Pass
14	0.015354101335328297	3.183857278991831	13.561918191332044	354	8750	13786	1808	42250	Pass
15	0.019949603707599586	3.4516775847765313	13.536964394076676	1580	7354	10893	1708	31726	Pass
16	0.019772140380032107	3.0703599445047134	13.080108680530719	1225	8062	13289	1558	41794	Pass
17	0.02742706767817022	2.862959397526507	12.78605441538938	1384	8033	12642	1663	38462	Pass
18	0.020735226461895073	3.331158182433745	13.707173458512273	1320	8993	15106	1680	48127	Pass
19	0.03315451431746341	3.1276566160717385	13.782276670655083	164	6220	9558	1353	28842	Fail
20	0.02522177815375929	3.435802655385995	13.667639483000457	1598	7965	11960	1809	34876	Pass
21	0.16434281087199318	5.009742428776506	16.474862421656564	1290	11707	14550	3958	34532	Fail
22	0.07003563777474711	2.619974399171527	12.478021738985301	0	10171	14587	2500	41227	Fail
