	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.012129947192683238	1.6573517242638722	13.590857947401217	1313	9105	15104	1745	47909	Pass
2	0.007312399485556103	2.072404674834174	14.379831800914605	0	9404	15756	1793	49505	Pass
3	0.008328180197100073	2.072692947757858	14.470098379159964	1250	10271	16620	2034	51360	Pass
4	0.009426071981689649	1.872148007351087	14.141428376178684	1598	11943	20597	2141	66530	Pass
5	0.008712431628427412	1.8060386182628276	13.952844654882405	0	10478	17479	1985	54964	Pass
6	0.011113042105344209	1.698805321855608	13.820460393066867	0	10520	17248	2054	53385	Pass
7	0.00899675827120297	1.9424685812992815	14.2345681443256	1237	10421	18508	1783	60353	Pass
8	0.01036736816606885	2.017218316374823	14.667728147426864	1018	11370	20506	1913	68287	Pass
9	0.01597754945266751	1.6029176714619107	14.047926923670538	1598	10239	18125	1770	59668	Pass
10	0.014591851190288066	1.8277320354826996	14.37004181927891	1329	9936	16359	1937	51543	Pass
11	0.014512428014308987	2.23114664136886	14.709993122956075	0	10204	17618	1833	56953	Pass
12	0.042886974533849445	2.5914442607937413	16.248243323669193	0	8408	15109	1405	49774	Possible gain
13	0.019158324020208235	1.7516861291551438	13.258889522735078	0	10878	16183	2485	46967	Pass
14	0.016414455017409568	2.02424408887338	14.165336860866685	407	11040	17502	2261	53844	Pass
15	0.017288433366998236	2.0113864089027196	14.210632654787196	1586	9981	16838	1859	53454	Pass
16	0.030863537666628436	2.373622288828522	15.24735243252416	0	8232	13153	1672	39805	Fail
17	0.02431844337879689	1.7331461769746044	12.593564938001968	0	10330	17766	1871	57303	Pass
18	0.020805666323809317	2.1669377225383135	14.209850087237974	1491	10157	18266	1735	60540	Pass
19	0.040391587651527595	1.738669096986964	14.279327860881509	319	6221	12003	933	40943	Fail
20	0.022951034603091742	1.979124053335524	14.115807358177166	1372	10315	19020	1660	62483	Pass
21	0.22998248162077453	3.4190042191704446	20.185995250294802	0	9451	21867	1133	79675	Possible gain
22	0.05434105052876338	1.5349450464737906	13.113435267911036	0	11332	19257	2067	61834	Fail
