	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.0085215496403752	2.63220370380912	14.475243943750217	937	8494	15282	1426	50363	Pass
2	0.009160396819578477	3.060094569059406	14.567315559748195	1598	8500	14819	1483	48701	Pass
3	0.007892290119732555	2.7893995983813475	15.168105808610495	33	10153	19639	1533	67630	Pass
4	0.02214123796110611	3.324156368973558	16.45160535404164	0	8363	16057	1271	54502	Pass
5	0.00898740370289039	2.527794563452529	14.16640769073631	1073	9155	17058	1436	57677	Pass
6	0.00830254094610886	2.929111420017989	14.342193077371654	1576	8700	14578	1621	46454	Pass
7	0.012290389597122406	2.4688578714361746	14.026931972644089	1477	8748	15013	1581	48165	Pass
8	0.010372075842932258	2.785943644177067	14.592819696592098	1560	9763	17356	1691	56843	Pass
9	0.027925566727280547	2.0705118468051156	14.026842764509574	1166	8976	19141	1203	67849	Pass
10	0.014815104880710993	2.46915402840329	14.663924753713793	1125	8782	17109	1312	58800	Pass
11	0.09085810939758433	4.080601291960494	18.07267768946803	0	7516	13578	1271	44846	Possible gain
12	0.06372698377146321	3.851647273323392	16.36411022125459	0	6930	12532	1160	41551	Possible gain
13	0.022728357358094614	2.2906805862974586	13.228194822816398	0	9331	14931	1893	46077	Pass
14	0.016759885386819346	2.6558561026304632	13.982218914743402	916	9025	16424	1502	53967	Pass
15	0.01901701152324949	2.5273974699976733	14.247621447421746	1598	10245	20821	1430	72426	Pass
16	0.023493187634820323	2.6900610807667027	13.058063832032564	0	8664	12950	1976	37804	Pass
17	0.024213262756235636	2.4500669925304672	13.045953888027281	1480	8129	11848	1948	33813	Pass
18	0.02002324399517321	2.835109134333792	14.835449106067728	570	10760	20158	1690	68753	Pass
19	0.04272073443773747	3.0196796767453407	14.111288359411102	1576	5957	8093	1637	21536	Fail
20	0.028532414995775017	3.197498913121068	15.081577330891562	1262	9439	16601	1637	53953	Pass
21	0.2181253020955935	5.350077069052834	16.87252880878275	1292	9633	10578	4740	19710	Fail
22	0.08816424468660933	1.7796954457745997	12.342975252857169	0	10043	16318	1993	50655	Possible loss
