	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.00827738058537665	1.1583515571656662	12.567108673495014	1395	9866	15760	2013	48576	Pass
2	0.006164637441079131	1.3968979257049048	12.350986921156247	1502	9809	15641	2004	48283	Pass
3	0.009098020969823789	1.5244232462145932	12.977492584161322	1367	10553	16959	2119	52750	Pass
4	0.013150286260346103	0.944058816900335	12.037819910423071	0	11147	18855	2067	59610	Pass
5	0.009743353036715908	1.198319201557248	11.983480721656544	0	10725	17047	2194	52048	Pass
6	0.00916008795409096	1.3494964123190787	12.910527247853278	959	10142	15892	2127	48069	Pass
7	0.008827800076414821	1.3441766399567303	12.859760283675474	0	10103	16623	1954	51900	Pass
8	0.010840398945410057	1.388128333660851	13.579427468669529	1111	11871	20570	2109	65875	Pass
9	0.013698530478520252	1.0194372501751872	11.846513069195044	1288	9602	15394	1961	47860	Pass
10	0.01302554987223866	1.155810394626104	13.097157911658204	932	9468	15411	1866	47793	Pass
11	0.016159684380940776	1.6062483731494304	13.383810466219353	0	10307	17106	1960	53962	Pass
12	0.06469005381340004	2.472840388518228	15.123587192269518	0	8497	13672	1721	42267	Possible gain
13	0.02034897330326544	0.9652913198933506	11.817984454338355	0	11695	20167	2100	65203	Pass
14	0.015782850660427294	1.2113222601787523	12.232754019845832	0	10182	15660	2191	46889	Pass
15	0.017805169410277315	1.2409448523229623	13.061316110999789	381	9781	17462	1669	56996	Pass
16	0.018945606890214906	1.3756749401913568	12.537083555569197	1553	9577	15586	1876	47997	Pass
17	0.021479579655573042	1.0993673902815138	11.68191499942628	0	9832	14782	2210	43401	Pass
18	0.020369811788885243	1.2724338311136858	12.68387980995586	1598	12262	19835	2480	61366	Pass
19	0.036120952224784265	1.20892187295871	12.43518473940211	509	6245	8561	1705	23144	Fail
20	0.02481880577438503	1.304876319907791	12.503998894185818	511	10853	18246	2007	57873	Pass
21	0.08873617452634938	1.898077742544447	14.892119003417987	767	9969	15053	2235	44690	Fail
22	0.040482609080305286	1.2017635878991575	12.406456705429871	1128	9844	16318	1888	51823	Fail
