	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.0073537870969700115	2.0629025252519417	12.985318044225227	1119	9740	16068	1884	50360	Pass
2	0.007724562776673732	2.4829240856516215	13.114743405039238	0	10116	15949	2113	48240	Pass
3	0.007492443261601865	2.2543018623428486	12.340992963285764	0	10019	15434	2154	46585	Pass
4	0.010786637410864946	2.0167004694510293	11.95993912791672	0	11143	17263	2389	51836	Pass
5	0.009296779874318803	2.2110072694857648	12.287047854128755	0	11287	17970	2302	54833	Pass
6	0.009015185814271888	2.1948522958653447	12.993121779924778	1527	10473	16695	2109	51033	Pass
7	0.23002769390341166	0.05177043597192155	7.721101336794643	0	13419	18714	3511	51271	Possible loss
8	0.00962819883073548	2.3633170989848384	13.118814969377471	960	11408	18713	2228	58556	Pass
9	0.012771971738758641	2.1322938019867044	12.420003525045475	1450	9666	14000	2330	39799	Pass
10	0.01440700786082921	2.333520408437445	13.708762213980286	0	9286	15080	1836	46954	Pass
11	0.011821152809831655	2.356938718816447	12.932115257504325	0	9476	14891	1985	45763	Pass
12	0.08988591190814997	3.7263185881500824	15.368974253215384	0	7718	12232	1591	37624	Possible gain
13	0.015430515610308315	2.1702816720074107	12.260723608341436	323	11393	19267	2107	61291	Pass
14	0.014950551737831396	2.386550987565739	12.783925162124662	1598	10076	15758	2103	47577	Pass
15	0.018302576810119833	2.697163336221978	13.219259372582517	1389	10639	16485	2288	49298	Pass
16	0.01802985095554776	2.2701655519339576	12.352043371372737	587	8728	13369	1917	39697	Pass
17	0.018573620231884577	2.0750848050418984	12.103327246881136	1281	8821	13046	2063	37612	Pass
18	0.019340756403064412	2.3361267690100807	12.358747180625862	807	10795	17533	2169	54842	Pass
19	0.053306957806420224	2.912461287543435	13.995297379402832	0	6928	10299	1598	29915	Possible gain
20	0.024380658104085597	2.417232917489705	13.644119567968712	0	10165	18284	1725	59705	Pass
21	0.09511251204091735	3.3389629802664578	12.951587034899628	1095	10889	12275	4841	24474	Fail
22	0.046606170732527555	2.0565863745297195	11.359184241946021	0	9366	13097	2446	35808	Fail
