	KL	sub	supra	min_pos	median	mean	lower	upper	classif
1	0.008679528502000754	2.2313055564808453	12.761663141785426	969	9439	15473	1825	48399	Pass
2	0.005989204160061185	2.431921879857141	12.587132647175325	1415	10061	16456	1964	50951	Pass
3	0.008310443738961344	2.285844547551732	13.084637264789066	262	10125	18475	1689	61265	Pass
4	0.010821198562242139	2.1917998341267655	12.16380941276269	0	12063	20779	2160	66352	Pass
5	0.009021032528672358	2.2415557441942857	12.333742620553686	0	11427	19227	2128	61190	Pass
6	0.011202330067782986	2.0857803083143054	12.320981330759874	1531	9881	15701	2012	48436	Pass
7	0.008964521090418471	2.269458719881129	12.400297096929242	1557	9812	15070	2134	45078	Pass
8	0.009566641885547204	2.3523766201143683	12.657093780135344	838	10447	17311	1997	53944	Pass
9	0.01714909971410308	2.114634331084762	11.922651519031547	0	10014	14691	2377	42280	Pass
10	0.01717373397694659	2.1298523304812456	12.9819091058548	931	9033	15027	1736	47807	Pass
11	0.01479232182740195	2.5728929126547264	12.767042161765584	1598	9019	14989	1697	46384	Pass
12	0.07131772272067853	3.5024545901034108	15.013311853657726	0	8211	13378	1616	41680	Possible gain
13	0.020278447999726	1.803735465123287	11.799408450774402	0	11137	19323	1999	62487	Pass
14	0.016065634605095795	2.3437677782104878	12.222964535680566	1209	9842	16433	1887	52269	Pass
15	0.018330641511178688	2.359725167206175	13.022343038432897	1493	9875	19689	1433	68098	Pass
16	0.017974251459483184	2.1887639051877636	12.25196327360798	1555	9097	13857	2008	41193	Pass
17	0.018197492229721935	2.2599991120460157	12.238375728735903	1078	8648	13064	1929	38592	Pass
18	0.022068039767868093	2.02418786171404	11.566242443685823	0	11480	20046	2022	65395	Pass
19	0.0682835465589501	2.9251522482874472	14.616146634308583	0	6377	10205	1287	31676	Possible gain
20	0.023921643460382384	2.4497269880944366	13.194127408997707	0	9089	14991	1751	46829	Pass
21	0.12754915554844176	3.1390877660117535	16.293656247015395	1232	12394	18379	2871	53166	Fail
22	0.04606686788223954	2.2177264130499372	12.193043659376666	770	10397	18336	1813	59850	Fail
